time,lat,lon,depth,east_shift,north_shift,distance_border,semblance,azimuthal_coverage,n_stations,n_picks,uncertainty_horizontal,uncertainty_vertical,WKT_geom
2024-06-01 11:01:14.330000+00:00,49.844625,12.154799,7156.61,-13997.05,-41721.51,8281.25,0.24677716195583344,57.884377217178724,26,4,23411.56898842963,4875.0,POINT Z(12.154799139663837 49.84462495553208 -7156.609284108691)
2024-06-01 11:04:36.700000+00:00,50.049833,12.099516,10422.96,-17884.73,-18891.74,9593.75,0.3019782602787018,152.35717396581518,26,7,93.75,343.75,POINT Z(12.09951562101856 50.049832523751526 -10422.960611931458)
2024-06-01 11:23:47.610000+00:00,49.882243,12.033364,2364.14,-22686.88,-37508.78,12468.75,0.23751989006996155,0.0,26,2,190.08632907181936,1250.0,POINT Z(12.033364473354014 49.88224288229199 -2364.138130815821)
2024-06-01 11:32:00.460000+00:00,49.98735,12.07741,16.38,-19488.46,-25833.92,18468.75,0.19976219534873962,206.2626711746808,26,6,1470.0791857923844,1218.75,POINT Z(12.077409580550578 49.98734997032424 -16.384486359483518)
2024-06-01 11:51:42.670000+00:00,49.811446,12.175693,1817.13,-12507.42,-45414.49,4593.75,0.17872922122478485,146.63942668943446,26,3,69.87712429686843,1250.0,POINT Z(12.17569315120461 49.81144646648568 -1817.1327780867534)
2024-06-01 12:38:27.410000+00:00,49.984322,12.084086,1602.43,-19012.32,-26172.32,18406.25,0.2135322242975235,0.0,26,2,364.4344934278313,2500.0,POINT Z(12.08408626885812 49.98432210281776 -1602.4268120376612)
2024-06-01 12:45:34.810000+00:00,49.861453,12.148071,1751.97,-14474.44,-39849.04,10156.25,0.20443543791770935,54.774886161380095,26,3,8573.669721886889,1000.0,POINT Z(12.148071134922876 49.86145298987421 -1751.9681958670462)
2024-06-01 12:47:47.210000+00:00,49.86575,12.026334,2519.75,-23198.56,-39340.55,10656.25,0.20195019245147705,0.0,26,2,197.64235376052372,3250.0,POINT Z(12.026333850786694 49.86574984534216 -2519.7467931038996)
2024-06-01 13:09:49.120000+00:00,49.836026,12.313495,8728.42,-2618.11,-42695.36,7281.25,0.22545106709003448,70.85443548228807,25,4,225.34695471649934,1250.0,POINT Z(12.313494822495427 49.83602561716392 -8728.419508494058)
2024-06-01 13:13:46.910000+00:00,49.808965,11.969303,3541.73,-27318.29,-45635.4,4406.25,0.258022278547287,49.29681815766412,26,2,200.09763241977652,2000.0,POINT Z(11.969303058253429 49.80896495759722 -3541.7251137948197)
2024-06-01 13:18:43.840000+00:00,49.843659,12.174612,2430.11,-12576.62,-41832.42,8156.25,0.21325300633907318,0.0,26,2,312.5,2812.5,POINT Z(12.17461182529712 49.84365920900207 -2430.108290374922)
2024-06-01 13:27:56.850000+00:00,49.859199,11.949191,1940.17,-28731.6,-40042.19,9281.25,0.24082644283771515,57.14558343124111,26,5,970.7640354380667,3437.5,POINT Z(11.94919069476167 49.859198552126976 -1940.168964213658)
2024-06-01 13:34:37.730000+00:00,49.800832,12.094362,656.69,-18347.37,-46577.91,3406.25,0.22342804074287415,90.5930204272733,26,2,176.7766952966369,1562.5,POINT Z(12.094361886657458 49.80083246504838 -656.6946194613628)
2024-06-01 13:50:46.630000+00:00,49.959983,12.124108,3.3,-16159.04,-28888.08,19968.75,0.20586135983467102,99.575049112167,26,4,364.4344934278313,2468.75,POINT Z(12.12410789643139 49.959983400298846 -3.297888093311876)
2024-06-01 13:55:21.260000+00:00,49.829023,11.87709,14608.5,-33921.21,-43367.25,4093.75,0.1772487461566925,39.68654928709117,26,3,10094.088616611209,14437.5,POINT Z(11.877089927926031 49.82902321790246 -14608.498619767583)
